V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
#,n,#,#,.,.,#,#,.,#,.,#,.,.,#,#,#,.,.,#,#,.,#,.,.,#,.,#,.,.,#,#,.,#,.,#,.,.,#,#,#,.,.,#,#,.,#,.,#,.
#,#,.,#,.,#,#,.,#,n,#,#,#,.,#,.,#,.,#,#,#,#,.,.,#,e,.,.,#,#,.,#,#,.,#,#,.,.,.,#,.,.,.,.,#,.,.,.,.,#
8,#,.,#,#,#,.,.,.,#,#,.,.,#,.,#,#,#,#,.,.,.,#,.,F,.,#,#,#,#,#,#,.,.,#,#,#,.,.,.,#,#,#,.,.,#,.,j,#,.
#,.,.,.,.,#,#,#,#,.,.,.,#,.,.,.,#,#,#,.,.,#,#,.,#,#,#,.,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,#,1,#,.,s
.,.,#,.,#,.,.,#,.,.,.,#,.,.,#,#,#,#,u,#,.,.,#,#,.,.,#,.,#,#,#,#,.,#,#,.,.,W,.,.,.,t,.,.,.,.,.,.,#,#
#,#,.,#,.,.,#,.,#,#,#,.,#,.,.,#,.,r,#,.,#,#,.,#,.,#,.,W,#,.,5,#,.,.,#,.,.,.,#,#,#,#,.,#,.,.,.,.,#,.
#,#,.,.,#,#,.,.,.,#,#,.,.,.,#,.,#,#,#,#,.,.,.,.,#,.,.,#,.,#,.,.,#,.,.,.,J,.,.,.,.,.,.,.,.,.,.,#,.,#
.,#,#,#,#,#,.,#,#,.,#,.,.,#,.,#,#,#,.,#,.,#,.,#,#,.,#,#,.,.,#,#,.,#,.,.,.,.,.,d,.,#,.,#,#,.,#,#,.,.
.,.,#,#,.,#,p,#,w,.,.,#,#,#,#,#,#,.,#,#,#,.,.,.,.,#,W,#,.,.,.,#,#,.,#,.,#,.,#,.,.,6,.,.,.,.,#,#,.,#
.,.,#,#,#,.,r,.,#,.,.,#,f,#,#,.,.,#,.,.,.,.,.,.,#,7,.,#,.,.,#,#,.,.,.,.,#,#,.,.,.,#,.,.,.,#,#,.,#,#
#,#,#,.,#,#,.,#,C,.,f,#,.,.,q,#,.,#,.,#,#,.,.,#,.,.,#,.,#,.,#,.,#,3,#,#,#,.,.,.,.,.,.,#,.,.,#,.,#,.
#,.,.,#,#,#,.,#,#,f,#,.,.,.,.,#,.,.,.,#,#,.,#,.,.,#,C,#,#,5,#,#,.,.,.,.,#,t,.,#,#,.,.,.,#,.,#,.,#,#
.,#,.,#,S,.,#,#,#,q,.,.,#,.,.,#,.,.,.,.,#,#,#,#,.,#,#,.,.,#,.,.,#,#,.,#,.,#,.,.,.,.,.,#,#,.,#,#,.,.
.,.,#,#,#,#,#,#,.,.,.,#,.,p,.,.,.,.,.,.,#,.,.,#,.,#,.,#,.,#,.,#,#,.,#,.,.,#,.,.,.,#,#,#,#,#,Z,#,.,.
.,#,#,#,#,.,#,#,#,#,#,.,#,#,#,.,.,.,.,#,.,#,5,.,#,.,.,.,#,.,.,#,.,.,.,.,#,.,.,.,.,#,#,.,#,.,.,#,.,.
#,#,#,#,T,#,#,.,.,#,#,.,.,.,.,.,#,#,#,#,.,.,.,#,.,D,.,.,#,#,.,8,.,.,.,#,.,.,#,.,R,.,.,.,#,.,.,#,.,.
#,#,#,.,#,.,.,T,.,#,#,#,#,#,.,.,.,#,#,.,#,7,M,.,#,#,.,#,.,#,#,.,#,J,.,#,.,.,#,#,.,.,.,.,#,.,.,.,.,#
#,.,.,#,.,#,t,#,#,#,#,#,.,#,#,#,#,.,.,.,.,.,#,#,.,#,#,.,#,.,.,#,#,.,.,#,#,.,.,.,W,.,.,#,.,#,.,#,.,.
.,#,#,.,.,.,.,.,.,.,.,#,#,#,.,D,.,.,.,#,#,#,.,M,.,.,#,.,.,#,.,.,.,#,#,#,.,z,.,.,.,.,.,#,.,.,.,#,s,.
.,#,#,.,.,#,.,.,#,.,.,F,#,#,D,M,#,.,q,.,.,.,#,#,.,.,#,.,.,#,#,R,#,#,.,#,.,.,.,.,#,.,#,.,.,#,#,.,#,.
#,.,#,.,#,.,.,#,#,.,.,.,#,#,#,.,#,.,.,#,.,#,#,#,#,#,.,.,.,#,#,.,#,.,#,.,.,.,.,.,.,.,c,#,.,.,#,s,.,#
#,E,.,.,.,#,.,.,.,#,0,.,#,.,#,#,.,.,.,#,#,.,#,#,#,N,.,.,#,.,.,#,.,.,.,#,#,#,.,.,#,.,.,.,#,.,.,.,.,#
.,.,#,.,#,.,.,#,#,.,.,#,.,#,.,.,#,#,.,.,.,.,#,.,#,#,#,.,#,#,.,#,.,.,.,.,.,.,#,1,.,.,.,.,.,.,#,.,2,X
.,#,.,#,#,.,#,.,.,#,#,#,.,.,#,0,.,#,#,.,.,#,#,.,#,.,.,#,#,.,.,#,#,#,#,.,.,.,.,.,.,X,.,.,.,.,.,.,.,.
#,#,.,.,.,.,.,.,.,#,#,#,#,.,#,F,.,I,#,.,.,.,#,#,#,.,#,.,#,.,.,#,.,#,.,.,.,#,.,.,.,.,.,.,X,#,#,.,.,.
.,#,.,.,U,#,.,.,#,#,.,z,#,.,#,.,.,#,#,#,#,#,.,#,.,#,#,#,.,#,.,.,.,.,#,.,.,#,.,.,#,.,.,.,.,#,.,#,.,.
E,#,#,.,.,S,#,#,.,#,#,.,.,.,#,#,.,#,#,.,#,#,#,.,.,.,#,#,.,.,#,.,#,.,.,.,.,#,.,#,.,.,.,2,#,#,.,.,#,.
.,.,S,.,.,.,#,.,.,#,#,.,z,#,.,I,#,.,.,.,.,#,i,.,.,#,.,.,.,#,.,#,m,#,.,#,.,.,.,.,#,.,.,.,.,#,2,#,.,.
.,#,.,.,.,#,.,E,.,.,#,#,.,.,#,.,#,.,#,.,#,#,#,#,.,.,i,.,#,.,.,.,.,.,#,#,#,.,.,.,.,.,#,#,.,R,.,.,.,#
.,#,#,#,#,.,.,.,.,#,#,.,#,#,.,.,.,#,N,#,.,.,#,#,.,#,#,.,.,.,#,#,.,.,#,.,.,.,.,#,.,.,.,.,.,.,#,.,.,#
#,.,.,#,.,.,.,.,.,.,#,.,#,#,#,.,#,#,.,.,#,.,.,.,#,.,.,#,#,#,#,.,.,.,#,.,m,.,#,.,.,.,#,#,.,.,.,.,.,#
.,.,#,#,#,.,.,.,#,.,.,#,#,#,#,#,.,.,.,P,.,#,.,.,.,#,#,.,#,.,.,.,.,m,.,#,.,2,#,.,.,.,.,.,#,.,#,.,.,.
#,#,.,.,.,.,#,.,#,.,#,#,.,.,.,.,N,.,#,#,#,#,.,#,#,#,#,.,.,#,#,.,#,.,#,.,.,c,.,.,#,#,#,#,#,.,#,.,#,#
#,.,.,.,#,.,#,#,.,.,#,#,.,.,.,#,.,.,#,.,#,.,.,.,.,.,.,#,.,.,.,#,.,.,.,.,#,.,.,4,#,#,.,.,.,#,#,#,#,.
.,.,#,.,.,.,.,.,U,#,.,#,.,.,#,.,.,.,P,#,.,.,.,#,#,#,#,.,#,.,.,#,.,#,7,.,.,#,.,.,#,.,.,.,.,.,.,.,4,.
#,.,#,.,.,#,.,#,.,.,.,#,.,#,#,.,#,#,.,.,#,#,#,#,X,#,#,.,#,#,.,.,.,.,#,#,#,.,.,.,.,.,.,.,.,#,.,.,.,.
Y,.,.,.,.,.,.,.,.,#,.,.,#,.,#,#,.,#,#,U,#,.,.,.,.,.,#,#,.,.,#,#,#,.,#,#,.,.,.,#,.,.,d,.,#,.,.,.,.,.
.,.,.,U,.,.,.,.,.,#,.,#,#,.,.,#,.,#,.,.,.,.,#,#,.,.,#,.,#,.,.,#,.,.,.,.,.,#,3,.,.,#,#,.,.,#,.,.,#,#
